0:drucksache,rufe,überweisungsvorschlag,beratung,reaktorsicherheit,tagesordnungspunkt,aussprache,ausschuss,beschlussempfehlung,naturschutz
38:genauso,zeiten,ideen,schritte,verlieren,akzeptanz,daraus,teilweise,entwickeln,beschrieben
39:~draußen,~zeitlich,~farben,~meter,~bergschäden,~batterien,~veraltet,~steuerbefreiung,~ausdehnen,~akzeptiert
40:abrüstung,rüstungskontrolle,enge,krieges,aufzunehmen,atomare,relevant,brasilianische,fürs,kindergeld
41:landschaft,bundesverkehrsminister,finanzhilfen,stagnation,besetzen,abhängig,öpnv,wirtschaftsverbände,stabilen,karton
42:ökologische,finanzmärkte,stabilität,automobilindustrie,wirtschaftskrise,zentrale,aufgaben,auto,gerechtigkeit,finanz
43:~verpflichtung,~parteien,~umzugehen,~gegenstand,~unterschreiben,~erarbeitet,~wirtschaftspolitischer,~schrittweise,~werk,~umgekehrt
44:könne,nachdem,zulassen,notwendige,müsse,bestätigt,endgültigen,teilgenommen,vorwürfe,gelassen
45:starken,staatsverschuldung,frankreich,finanztransaktionsteuer,jahreswirtschaftsbericht,maritimen,häfen,geschildert,niemand,jungen
46:bevor,wählen,einvernehmen,informieren,derart,gentechnisch,hinweise,kriterien,allgemeinheit,bereitschaft
47:mindestlohn,fachkräfte,angemessene,waldbewirtschaftung,wäldern,begegnen,verlangt,dicke,bürokratie,notwendiger
48:~sachverständigenrat,~verkraften,~umweltfragen,~zugrunde,~profitiert,~regierungsparteien,~großartige,~bekräftigt,~gerettet,~paradigmenwechsel
49:berichten,wirtschaftlichkeit,verkehrsminister,ehemaligen,bewahren,fehl,ausüben,ministerium,optimistisch,fortzuführen
